sku,upc,weight,height_cm,length_cm,width_cm,uom,image_url
A073MA2X,752044062581,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_maroon.jpg
A073MA3X,752044062598,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_maroon.jpg
A073MAL,752044062567,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_maroon.jpg
A073MAM,752044062550,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_maroon.jpg
A073MAS,752044062543,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_maroon.jpg
A073MAXL,752044062574,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_maroon.jpg
A073NY2X,752044062642,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_navy.jpg
A073NY3X,752044062659,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_navy.jpg
A073NYL,752044062628,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_navy.jpg
A073NYM,752044062611,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_navy.jpg
A073NYS,752044062604,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_navy.jpg
A073NYXL,752044062635,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_navy.jpg
A073OR2X,752044062703,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_orange.jpg
A073OR3X,752044062710,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_orange.jpg
A073ORL,752044062680,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_orange.jpg
A073ORM,752044062673,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_orange.jpg
A073ORS,752044062666,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_orange.jpg
A073ORXL,752044062697,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_orange.jpg
A073PU2X,752044062765,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_purple.jpg
A073PU3X,752044062772,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_purple.jpg
A073PUL,752044062741,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_purple.jpg
A073PUM,752044062734,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_purple.jpg
A073PUS,752044062727,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_purple.jpg
A073PUXL,752044062758,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_purple.jpg
A073RY2X,752044062826,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_royal.jpg
A073RY3X,752044062833,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_royal.jpg
A073RYL,752044062802,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_royal.jpg
A073RYM,752044062796,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_royal.jpg
A073RYS,752044062789,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_royal.jpg
A073RYXL,752044062819,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_royal.jpg
A073SC2X,752044062888,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_scarlet.jpg
A073SC3X,752044062895,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_scarlet.jpg
A073SCL,752044062864,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_scarlet.jpg
A073SCM,752044062857,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_scarlet.jpg
A073SCS,752044062840,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_scarlet.jpg
A073SCXL,752044062871,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_scarlet.jpg
A073W2X,752044062949,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_white.jpg
A073W3X,752044062956,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_white.jpg
