retire_id,name,canonical_id,canonical_name,distance,items_to_repoint,canonical_items,canonical_in_ss_feed,confidence
828,Dgh,498,Ash,2,0,62,yes,review
828,Dgh,2607,Db,2,0,4,no,review
828,Dgh,2042,Dgr,1,0,8,no,review
828,Dgh,3023,Dsg,2,0,1,no,review
828,Dgh,2339,Ga,2,0,1,no,review
828,Dgh,3403,Gc,2,0,9,no,review
828,Dgh,3404,Gch,2,0,5,no,review
828,Dgh,505,Gph,2,0,10,no,review
828,Dgh,1146,Ig,2,0,1,no,review
828,Dgh,1290,Kh,2,0,4,no,review
828,Dgh,2843,Lgt,2,0,2,no,review
828,Dgh,3435,Oh,2,0,1,no,review
828,Dgh,2885,SGH,1,0,3,no,review
828,Dgh,2692,Sgg,2,0,1,no,review
828,Dgh,3455,Trh,2,0,3,no,review
828,Dgh,3124,Vh,2,0,2,no,review
828,Dgh,4365,WH,2,0,1,no,review
3244,Flgr,4133,BLGR,1,0,6,no,review
3244,Flgr,2042,Dgr,2,0,8,no,review
3244,Flgr,1279,Htgr,2,0,5,no,review
3244,Flgr,2843,Lgt,2,0,2,no,review
3244,Flgr,1110,Negr,2,0,1,no,review
3244,Flgr,4331,SLTGR,2,0,4,no,review
3244,Flgr,2209,Shgr,2,0,1,no,review
3244,Flgr,3343,Smgr,2,0,1,no,review
7617,Forest Green/White,4521,Forrest Green/White,1,0,4,no,review
765,Green,3043,Grcon,2,0,5,no,review
765,Green,959,Grey,2,0,0,yes,review
765,Green,523,Grey,2,0,0,yes,review
959,Grey,509,Red,2,0,598,yes,review
523,Grey,509,Red,2,0,598,yes,review
887,Grey/Black,623,Red/Black,2,0,28,no,review
637,Grey/Black,623,Red/Black,2,0,28,no,review
807,Grey/Grey,5054,Red/Grey,2,0,1,no,review
891,Grey/Red,807,Grey/Grey,2,0,0,no,review
1243,Grey/Royal,1869,Red/Royal,2,0,2,no,review
796,Grey/White,5950,Green/White,2,0,2,no,review
3717,Grvl,1143,Gravel,2,0,9,yes,review
3717,Grvl,959,Grey,2,0,0,yes,review
3717,Grvl,523,Grey,2,0,0,yes,review
3717,Grvl,526,Grth,2,0,2,no,review
3717,Grvl,2703,Tryl,2,0,1,no,review
1144,He,2788,Bkhe,2,0,1,no,review
1144,He,2607,Db,2,0,4,no,review
1144,He,3028,Ec,2,0,1,no,review
1144,He,2339,Ga,2,0,1,no,review
1144,He,3403,Gc,2,0,9,no,review
1144,He,2093,Hbk,2,0,1,no,review
1144,He,2096,Hdt,2,0,3,no,review
1144,He,2371,Hlb,2,0,2,no,review
1144,He,1146,Ig,2,0,1,no,review
1144,He,1034,In,2,0,3,no,review
1144,He,489,Ke,1,0,1,no,review
1144,He,1290,Kh,2,0,4,no,review
1144,He,2155,Mr,2,0,1,no,review
1144,He,2656,Nahe,2,0,2,no,review
1144,He,3435,Oh,2,0,1,no,review
1144,He,3772,Oy,2,0,8,no,review
1144,He,4303,RD,2,0,1,no,review
1144,He,509,Red,2,0,598,yes,review
1144,He,3124,Vh,2,0,2,no,review
1144,He,4365,WH,2,0,1,no,review
7466,Heather Coral,1272,Heather Royal,2,0,10,no,review
1264,Heather Grey,1271,Heather Red,2,0,5,yes,review
7571,Heathered Grey,1264,Heather Grey,2,0,0,yes,review
7571,Heathered Grey,1009,Heather Grey,2,0,15,yes,review
